C00062 C02163
CE5248 CE2180
C00187 CE1360
CE2872 CE2874
C00114 C01996
CE2872 CE2873
C01041 C00601
CE5315 CE5306
C00376 C00777
C00349 C01205
C00037 C02412
C00986 C00315
C03340 C00441
CE5969 CE5970
C05350 C01179
C00541 C00992
C00958 CE6503
C04849 CE6250
C00390 C04570
G00014 G00015
C04043 C01161
C00645 C04257
C00112 C00063
C00631 C00074
C00439 C03680
C00523 C11135
CE7097 CE5178
C03523 C03880
C00674 C00280
C07292 C00206
CE2872 CE2884
C00155 C02291
C00407 C03465
C01637 C03402
C06008 C00407
C00496 C00020
C03345 CE5875
CE2866 CE2880
C04483 CE1589
CE1342 CE1343
C05272 C05258
CE0932 CE5126
CE0932 CE5127
C05859 CE5956
C04317 C03968
CE2416 CE5125
C14145 C14144
CE6583 C00350
C00167 C00190
C06755 C14859
G00035 G00023
C00155 CE1401
CE2416 CE5124
CE5308 C00024
CE6193 CE6188
C00221 C01172
C00621 C00110
CE1447 CE7105
C01794 C05467
C14768 C14772
C05966 C04742
CE6506 CE6504
CE1241 CE5114
C01678 C00831
CE5272 CE1264
C04874 C03968
CE5272 CE1261
CE3809 CE3126
C00613 C02163
C02850 C00151
CE2172 C03758
C03758 CE2172
C05668 C00894
CE6221 CE6498
C01888 C00014
C03715 C00339
C01188 C04047
C05758 C05757
CE5309 CE5306
CE6232 CE6234
C05545 C05546
C00123 C02047
C05111 C03845
C05465 C00245
C00957 C00097
CE2866 CE2870
C05579 C05606
C03205 C05485
C05583 C05584
C04230 C00370
C00049 C02984
CE6227 CE6204
C05999 C00546
CE5935 CE5936
C04637 CE5101
C00669 C01879
C14153 CE7122
C00279 C00118
G00146 G00147
CE4845 CE4844
C00035 C00044
C00399 C04253
C00219 C05965
C00219 C05966
CE7113 CE7109
CE4793 C03035
C05302 C11131
C00037 C01921
C02505 C00079
CE7220 CE2089
CE5935 CE5941
CE6454 CE6445
CE4849 CE4830
C04936 G00063
C05519 C00037
C04936 G00064
CE4849 CE4834
C00061 C00255
C00234 C05928
C00101 C00234
CE5662 CE5663
C00430 C00931
C00219 C05956
C05298 CE5247
C02249 CE4833
C00881 C00239
C00788 CE2173
C07296 CE5938
C00035 C00046
C04805 CE6246
G00146 G00145
C05983 C00100
C06128 C02686
C05589 C05583
C14813 C05966
C06144 C06145
C00286 C00039
CE5527 CE5922
C01595 CE6415
C05279 C05280
C05399 C00124
C00168 C00065
C03845 C05111
CE5662 CE5661
CE6438 CE0328
CE5346 CE5345
C13856 C00116
C04295 C00535
CE2245 CE2257
C00099 C00222
CE5342 CE5341
C03087 C00431
CE0695 CE0782
C04849 C04843
C05298 CE2184
C00272 CE1951
C05280 CE2424
CE2577 CE2576
C07297 C00100
C00829 C14786
CE4849 CE4853
C01649 C02702
C00738 C02965
C00751 C01054
CE6501 CE0926
C00829 C14787
CE5342 CE5343
C05293 C00535
CE0784 CE0853
C03090 C03838
CE4849 CE4851
C00074 C00631
CE2245 CE2249
C00157 C02530
C00725 CE5656
C00906 C00178
C00780 C06212
C00410 C03748
CE5114 CE4791
C11554 C01277
CE2049 C14826
C14785 C02617
C05999 C00583
C01693 CE5278
C00366 CE0074
CE5324 CE5317
C00013 C00039
CE5965 C00346
C00112 C00055
C04874 C04317
CE5178 CE2445
C00315 CE1939
C04874 C05650
C00013 C00044
C00334 C00555
CE6498 CE6499
C00112 C00046
C06340 C05455
CE5324 CE5323
C02165 C04853
C00315 CE1940
C00366 C00499
CE5272 CE5698
C00155 C01817
C00013 C00046
C00170 C04188
C00035 C00096
CE5124 CE5123
CE5655 CE4898
G00102 G00103
C03736 C00442
CE4827 CE4829
C11088 C13645
C00024 C01136
C00095 C00794
C00079 C00082
C00183 C00141
CE4811 CE4810
C00123 C00233
CE5846 CE5847
C06314 CE5661
C06604 C06607
C06604 C06606
C01051 C03263
C00312 C00532
C00416 CE6584
CE1395 C00067
C00407 CE2916
C00407 CE2915
CE4827 CE4826
C00013 C00066
C00052 C00611
C02031 C02339
C06350 C04043
C00022 C00957
C00584 C05954
CE2201 CE2202
C00897 C00267
C00584 C05953
C00735 C00762
C00135 C00785
C00071 C00174
C00315 C07282
C00143 C00440
CE4805 CE4806
C00143 C00445
C05400 C00159
G04561 G00079
C00468 C05300
C06948 C00067
CE5346 CE5307
CE5527 C01041
C00951 CE4712
C00944 C02637
CE5650 C00641
C00079 C00064
C05965 C04849
C00275 C00636
C00576 C00114
C00355 C03758
C00044 C00942
C00376 CE6583
CE2881 CE2885
C00376 CE6585
C06055 C06054
C04256 C00357
C00029 C02687
C00187 C03594
CE2754 CE2886
CE5013 CE5932
C04618 C04246
C00262 C00294
C00164 C01089
C05263 C05274
CE5799 C00746
C05893 C05894
CE3126 CE3134
CE4993 CE4994
C01120 C00836
C03227 C00632
C05751 C05752
C03345 C01033
C00705 C00112
C01652 C03512
CE5941 CE5943
C00062 C00153
C14793 C14787
C04281 C01157
CE2592 CE0853
C06132 G00057
C04853 CE2053
C00330 C00242
C02041 CE2243
CE2251 CE2247
CE2917 CE4724
C03150 C00153
CE5859 C00978
CE1951 CE2705
C04853 CE2056
C04637 C00641
C05760 C05761
C05309 C00472
CE5159 CE5158
CE4633 C00698
C00219 CE5535
C00361 C00286
CE6474 C00909
C00219 CE5537
C00401 CE5901
C14793 C14799
C03820 CE6488
C00151 C02850
C14826 CE2049
C14793 C14797
CE5536 CE5546
C05473 C01780
CE5536 CE5541
C03492 C04352
CE0347 CE6251
C00315 C00612
C01007 C00255
C00318 C02838
C07281 C00986
C01003 C03875
C05263 C05262
CE6460 CE6448
CE0785 CE2432
C07490 C06899
C00053 C04072
C01551 C11821
C00708 C01060
CE5922 CE5528
C02041 CE2250
CE5241 CE5250
CE0347 CE6246
C02051 C01242
G00048 G00047
C11304 C04685
C00062 C00179
CE5168 CE5169
C00155 C00542
C00029 C00052
C00022 C00074
C00006 C00153
C00410 C01176
CE0785 CE2422
C00024 C01997
CE6245 CE6243
CE5868 CE5867
C00117 C12215
C01352 C00016
CE6031 C00523
C00041 C00886
CE1186 C00310
CE2568 CE2566
C06010 C00022
C05138 C05487
C05285 C05284
C01089 C00164
CE1349 CE1350
C01595 C06426
C01149 C01259
C00106 C00429
C04076 C00449
C00527 C06157
CE6432 CE6448
C00641 C00416
CE2446 CE5349
C04722 C04760
CE7083 CE7115
C00188 C02992
C00091 C00430
C01346 C00460
CE3481 C13856
C04827 C04801
C00725 C02147
C03990 C02592
C00012 C00148
C03715 C03372
C00248 C00579
C00459 C00039
C00164 C01061
C01241 C04308
C00094 C00059
C00437 C00077
C04076 C00450
CE2754 CE2868
CE2754 CE2866
C14153 CE7144
CE5797 C00123
C04424 C00579
C00010 C05274
C00148 C01157
C00007 C00001
CE6488 C03820
CE5994 CE5995
CE2754 CE2872
C00010 C05270
C05298 CE5256
C01595 C02050
C03794 C00122
C03758 C07453
CE6492 CE6326
C00029 C00015
CE2754 CE2878
C02592 C03990
C00401 C00635
C00401 C00634
C11356 C00448
CE1787 CE2846
G00155 C04825
C00111 C00118
C00546 C03451
CE2422 CE0785
C14771 C14775
C00811 C01197
C00585 C00054
CE5867 CE5869
CE5867 CE5868
G00148 G00149
CE5797 CE5798
C00166 C05852
CE2421 CE0713
C05955 C05954
C05382 C00117
C05955 C05953
C05381 C01169
CE4994 CE4995
CE5656 C00725
C00044 C00058
C00836 C02934
C00214 C00672
CE5544 C01693
C00655 C00130
C00427 C00584
CN0020 CN0021
CE7220 C00037
C00097 CE1310
C04741 CE6234
CE4633 CE4881
C03793 C01259
CE4994 CE4993
C00519 C00245
C00148 C00012
G00148 G00147
C00044 C00046
C00037 C01259
C04063 C05981
C00117 C00199
C01561 CE1337
C00275 C05345
C00655 C00144
C05543 C00487
C03943 C03341
C01708 C00023
C00114 C00157
C05479 C00410
C05966 CE2567
C03360 C00870
C00082 C00483
CE4990 CE5944
C00052 C00015
C00491 C01962
CE2345 CE3038
CE2054 CE6182
CE5005 CE5006
CE4872 CE4874
C02567 C02229
C06000 C03460
C05463 C00245
C03451 C00256
CE7086 CE7079
C06206 C00180
C02817 C01792
C00416 C02737
C01561 C01673
C02075 C00473
C04453 C04840
C09642 C00084
C06199 CE6316
C05763 C05764
CE5837 CE5841
CE4994 C00037
CE2576 C04717
C00201 C00046
CE5124 CE2416
C05668 C01013
C04438 C01233
C00155 C01026
C00019 C01137
CE5648 C00346
CE5120 CE4790
C01449 C01978
CE5119 CE5118
CE5956 C05859
C00909 CE6246
C04185 C01693
CE5753 CE5747
C00940 C00064
CE5116 CE5114
C00094 C00320
C00044 C00013
CE2891 CE4754
CE5542 CE5538
CE5837 CE5838
CE2891 CE4753
C00530 C00472
C02470 C03227
C05998 C03069
C00853 C00194
C03363 CE4993
C05932 C03415
C00579 C00248
CE1274 CE1273
CE4795 CE5115
C00064 C00352
CE4795 CE5116
CE5119 CE5120
C00095 C01094
CE4890 C00084
C05499 C05138
C00052 C00029
CE2432 CE0785
CE5132 C04549
CE2417 CE2424
CE5529 CE5645
CE5121 CE2435
C01944 C00010
CE5529 CE5646
C00063 C00046
C05582 C05581
C00780 C00014
C01672 C12455
C03374 C05787
C04373 C03772
C00262 C00385
C00277 C00208
C00123 CE5797
C00044 C00035
C11149 C11150
C04671 C04707
CE1262 C00822
C00129 C00448
CE5537 C00219
C00957 C05823
C03798 C03633
CE2873 CE2872
C00003 C00004
C00269 C01194
C00003 C00006
CE2053 C04853
C03475 C00419
C04680 C04571
C02515 C00082
C00157 C04233
C00157 C04230
C00096 C00035
CE2088 CE2089
G00159 G00160
C00049 C03794
C00053 C00343
C00445 C00234
C00067 CE1395
C00349 C00026
G00145 G00146
CE3126 CE3809
CE5794 CE5796
C00081 C00104
C00349 C00022
C00212 C00020
C05404 C00124
CE5794 CE5795
C14806 C14800
C00439 C00025
C01284 C11555
CE7112 CE7109
C01031 C14180
C01205 C00025
CE2089 CE7220
CE3087 C09209
CE2417 CE2432
C00245 C00519
C04932 C04256
C00201 C00013
C00148 C03912
C00025 C03541
C08281 CE2254
CN0012 CN0009
C00206 C07292
C00794 C00031
CE5101 C04637
C12145 C12144
CE5169 C01794
C05276 C01944
CE2089 CE7218
C02839 C00082
CE1754 C00473
C00189 C00065
C06606 C06608
CE0469 C00041
CE7101 CE6219
CE2949 C02470
C00083 CE4811
C00085 C05382
C00021 C00155
CE7094 CE7093
CE6495 C03968
C00120 C04727
C01205 C00041
CE5575 CE5592
C00231 C05345
C00350 CE5964
C01643 C02988
CE5839 C00601
C00053 C00374
C03633 C03798
C05206 C05320
CE5643 CE5986
C00201 C00035
CE5256 C05298
C03823 C04708
C00956 C05560
C00083 CE4820
CE4876 C05957
C00053 C13690
C04911 C04927
C00083 CE4819
C01762 C00385
C00315 C00170
G00145 G00144
C05356 C04805
C01277 C01194
CE1661 C02238
C07295 C07308
C00418 C01107
C00083 CE4833
CE2095 CE3092
C00355 CE1261
C01802 CE2321
CE0955 C01312
C00147 C00559
C01290 CE5614
C00788 C05577
CE6426 CE0328
CE2095 CE3086
CE1347 CE1349
C04922 C04936
C04922 C04938
CE5925 C00219
C05379 C00311
C00386 CE2065
C05262 C03221
C00083 CE4845
C05957 CE4877
C05957 CE4876
C00081 C00130
C02052 CE2835
CE4823 CE4828
C00083 CE4841
C00163 C00100
C00788 C05588
CE1924 CE5986
C05754 C04619
C00668 C01172
G00089 G00067
CE6246 CE7097
CE2321 C01802
C00584 C00639
C05274 C00010
C00280 C05284
C14556 C14849
C00473 CE5014
C06002 C00100
C00636 C03693
C00746 CE5799
C00083 CE4850
C00510 CE5144
C00083 CE4851
C00231 C05382
CE1243 C00427
C00130 C00144
CE5588 C00315
C00376 C00473
C14849 C14556
CE1617 CE5594
C02038 C03881
CN0001 CN0002
CE6456 CE6446
C00037 C01242
C00894 C00100
G00089 G00090
C14556 C14854
G00089 G00091
C04885 C04926
C01747 C00319
C00250 C00018
C07292 C00361
C00794 C00095
CE5899 CE5982
C06314 CE2567
C02512 C05711
CE6369 C02465
C04677 C04734
CE6467 CE6451
C01185 C05841
C00093 C03968
C05401 C00124
CE5931 CE5930
G00072 G00073
C00002 C00575
C00111 C00093
C02999 C05887
C03758 C00054
CE5352 CE5179
C03740 C01879
C01673 CE2205
CE5824 C01180
C04549 C04063
C14803 C14802
CE1617 CE5575
C04910 G00038
C14873 C14871
C00019 C04160
CE6364 C00157
CE5242 CE5252
C00639 C00696
C00153 C00003
CE2596 CE0695
C05401 C00116
C00219 CE1450
CE4922 C00116
C14839 C14453
C00154 CE0852
C00010 C01832
C01702 C00015
C01172 C05345
C00535 C00280
C03440 C04282
C05445 C04554
C06126 C06127
C02470 CE2949
C04722 CE4872
C00588 C00114
C01185 C00253
C14862 C14863
C01530 C00412
C00154 C02934
C14862 C14865
C14792 C14798
C00683 C01213
C06131 G00045
C00035 C00144
C06131 G00042
C04250 C03800
CE2835 C01936
CE3140 C00078
C00025 C00439
C00195 C00319
CE6461 CE6448
C00590 C05615
CE6450 CE6464
C14855 C14851
CE6450 CE6465
CE5934 CE2038
CE5942 CE5943
C14792 C14787
CE2949 CE2948
G00090 G00089
C04730 C04884
CE5718 CE5719
C05275 C05274
C05584 CE6202
C06340 CE1298
C00019 C04158
C03541 C05930
C11088 C14874
C05275 C05264
C00195 C02960
C00058 C00044
C03968 C01264
CE5845 CE1925
C02646 C05615
CE6226 CE6225
CE2569 CE2566
C00354 C00085
C00083 CE4793
C05488 C00735
C14844 C14843
C02374 C02128
C02052 C01835
C11088 C14870
C05648 C05651
C04571 C04233
CE2153 C00067
CE5995 CE6190
CE5901 CE5901
CE5123 C00798
G00042 G00043
C14144 C14145
CE0853 CE0784
C00153 C00062
C00352 C00357
C06133 C06299
G00009 G00171
C00355 C00355
C14844 C14839
C14847 C14839
C01674 C00140
C05761 C06424
CE2315 C01189
C04686 C04685
C14788 C14789
C00315 C00986
CE5345 CE5346
CE7083 CE7079
C00248 C00068
C03968 C04317
C06893 C00222
C04707 C04671
C03912 C00025
CE5626 C03758
C04092 C00408
C01181 C01149
C00448 C00353
C00060 C00040
C00664 C00445
C02737 C00157
G10595 G10596
C00026 C05572
C04317 CE6493
CE3038 CE2345
G10598 G10599
C00385 C00366
C00986 C07281
C01647 C02430
CE1102 CE2594
C05259 C00024
C05512 C00262
C00708 CE2754
C02097 C00842
CE5896 CE5902
C00006 C00003
C04141 C01141
C00043 C00518
C00583 C05999
C00664 C00439
C02882 C01336
C00042 C00232
C05467 C05450
C00039 C00458
C04737 C01290
C00039 C00459
C00268 CE2705
C00222 C06893
CE5537 CE5533
C00083 C01209
C00785 C03680
C05699 C05688
C03701 C00195
CE1936 CE1938
C14814 C14813
C02050 CE4841
C00154 C02990
C01832 C05261
C00116 CE5727
C00116 CE5726
C00777 CE5589
C00186 C00022
CE5526 CE5527
C02882 C00014
C04910 G00046
C04910 G00047
CE1940 CE1943
C00233 C05119
C00780 C05647
CE1940 CE1941
C00381 CE1714
C00329 C00104
C00236 C00197
C00152 CE1556
G00166 C04911
C05267 C00024
C04598 C00033
C02163 C00613
C00051 C03740
C06002 C03284
CE7218 CE2089
C02512 C06114
CE3140 C00936
CE2173 C00067
CE6453 CE6444
CE1761 CE5012
C00877 C05116
CE3087 C00078
C14800 C14805
C14800 C14806
CE5945 CE5946
C14800 C14801
C04250 C11475
CE1939 CE1943
CE6579 CE5575
CE5650 CE5649
CE6243 CE4876
C11907 C00842
C04047 C01188
C00410 C03205
C00079 C00166
C01650 C02553
C00191 C00800
C00448 C03428
C04680 C00157
CE6229 CE6228
C00109 C02356
C00399 C00390
C00762 C00735
C06001 C06002
CE4798 CE4799
C00105 C00299
CE2705 CE1951
CE4826 CE4825
C00641 C01885
G00086 G00085
CE5345 CE5344
C00700 C00655
CE0233 CE5133
C14870 C14871
CE5594 CE1617
C00122 C00042
C00157 C01958
C05100 C05145
CE4837 CE4836
C06424 C05761
CE4837 CE4830
C00637 C00954
CE4826 CE4827
C00334 C00232
C00780 C05634
C00093 C03120
CE6272 CE6273
C04619 C05754
C04619 C05753
CE4798 CE4797
C00117 C00119
CE2862 C01836
C00117 C00118
C00978 C01598
C06001 C06000
CE4808 CE4796
C00674 C00523
C04570 C00390
C00329 C00140
CE6423 CE0328
C00245 C05463
C01159 C00197
C00245 C05465
C03836 C01034
C00909 C05356
CE7086 CE7087
C03838 C00101
C00475 C00299
C00089 C00031
C00640 C00264
CE6488 C03968
CE6493 C00350
C01209 C00229
CE5982 C01598
C00167 C00518
CE5120 CE5119
C00272 CE2705
C06205 C03012
C00504 C00415
CE4723 CE2916
CE2858 CE2751
C11148 C14867
C00078 C00014
C00492 C00089
C01213 C00091
C02642 C00429
C14858 C14860
C01271 C00685
C03069 CE2026
CE7047 CE5986
C14858 C14861
CE6464 CE6450
C05766 C05768
CE7145 CE5850
C14825 CE2047
CE5312 CE5311
C02050 C03035
C05766 C05767
CE0693 CE2431
CE3134 CE3808
CE5934 C07297
C00398 C06213
C00017 C00066
C00417 C00311
C05587 CE6203
CE4794 C05279
C00705 C00458
CE5312 CE5305
CE2434 C02050
C00019 C07294
CE7079 CE6508
C00460 C00365
CE0693 CE2420
C05471 C05472
C00019 C03702
C01780 C05473
C00319 C01747
C05947 C05938
C00314 C00627
C05345 C05378
C05947 C05946
C05109 C01724
C00007 C00376
C05461 C05462
C05548 C02727
CE5307 CE5316
C06138 C04927
C00106 C01168
C09642 CE4890
C05223 C02679
C01264 C03968
C00409 C08276
C00037 C05729
C05923 C06148
C05764 C00249
C04598 C03820
C01124 C01780
C05756 C05757
C01755 CE2011
C14859 C06755
C00390 C00399
C00037 C00051
C06148 C04895
G00011 G00012
C00577 C01094
C01756 C00021
C01996 C00114
CE0853 CE2592
CE6584 C00416
C06126 C02686
C00037 C00048
C01344 C01345
C00365 C00364
C00037 C00065
G00052 G00051
CE5818 CE5781
CE4829 CE4820
G00122 G00121
C03272 C04925
C05264 C00001
CE5653 CE3136
C00089 C00095
C05461 C05449
C00105 C05227
C01953 C05485
CE4829 CE4827
CE4821 CE4817
CE5841 CE5837
C03594 C05455
CE5841 CE5835
CE6503 C00958
C00093 C03892
C01204 C11174
C00093 C01233
C00270 C00645
C00157 CE6221
CE5586 C00315
CE5841 CE5839
C00024 C06250
CE2858 CE2890
CE5528 CE6502
C04518 C01176
C03245 C00153
C00037 C00073
CE6198 CE6195
C00022 C00349
C00063 C00112
CE6585 CE6583
CE6585 CE6584
C14785 C11714
C00014 C00169
C01612 C01450
C00095 C05345
C03013 C00035
C05686 C05696
C00606 C05527
CE4813 CE4819
CE6420 CE0328
C02743 C11475
CE4890 C07453
C00166 C00079
C01958 C00370
C01328 CE5899
C02986 C00014
CE5786 C00079
G00023 C01306
C01194 C01277
C14852 C14856
C05585 C00628
C00040 CE5646
C14852 C14853
C03968 CE6488
CE6495 C04317
C13856 CE3481
CE6495 C05650
C03465 C01033
CE4821 CE4822
C01290 C04737
C00100 C07297
CE1292 CE3038
C01635 C00886
C01290 C03405
C01024 C01051
C01290 C04730
C00011 C00169
C00632 C03227
C02442 C06199
C05223 C05759
C00777 C00376
CE5276 CE4888
C05223 C05758
C00219 C05356
C02465 CE2869
CE1162 CE2955
G00055 G00056
C00189 C01233
CE0078 C03363
CE3086 CE2095
C02465 CE2866
C05951 C00037
C02140 C01124
CE5348 CE5347
C01164 C00187
C00243 C00031
CE2119 CE5982
C00040 C02055
CE2189 CE2180
C05761 C00229
CE6449 CE6462
CE4823 CE4786
C01879 C03740
CE6449 CE6463
C04637 C01245
C01259 C01149
C02960 C00195
C03345 C00028
C14852 C14850
C05953 CE6235
C06412 C00249
C03881 C02038
CE5307 CE5346
C05643 C01598
C05745 C04246
CE2591 CE0852
C02839 C00787
C00114 C00065
CE2313 CE2314
C00109 C06006
CE6188 CE6204
C06139 C06140
C04441 C00021
CE7054 CE1243
C00562 C00017
C00189 CE7059
C00053 C00224
C01194 C01288
C00041 CE1554
C11378 C00601
C00450 C04076
C02567 C00315
CE5151 CE5150
C02743 C03800
C00343 C03895
C02465 CE2883
CE5724 CE4878
CE5022 CE5835
C00184 C00111
C00154 C05272
C00158 C00024
C00072 C03718
C00040 C02075
CE7098 C00350
CE2244 C00412
CE6495 C03820
C00039 C00677
C14453 C14845
C00532 C00259
C02465 CE2879
C00233 CE5456
C00055 C00112
CE1292 CE1298
C00148 C02702
C00777 C11061
CE6182 CE6186
C02407 C00044
CE6326 C05977
C02737 C00350
C06948 D00370
CE2915 CE4722
C00158 C00033
C00158 C00036
C00280 C00535
CE5853 CE1925
C02110 C00899
C04686 C00959
CE5151 CE5152
C02465 C00708
C05382 C00085
C00272 C00355
C05588 C05583
CE6446 CE6456
C05698 C05335
C00233 C00123
C00698 CE4633
CE4968 C00037
C00164 C00332
C00249 C06412
CE5663 CE5662
C00035 G00015
CE6226 CE6198
C04677 C04823
C05299 C05298
C03245 C03245
C00029 C00718
C02232 C14145
C00019 C04311
G00068 G00069
C02583 C03636
C00906 C05100
CE7079 CE7086
C01697 C00124
C00320 C00094
C00427 CE0737
CE7079 CE7083
CE5875 CE5068
CE7079 CE7084
CE2566 CE2568
CE2883 CE2887
CE2566 CE2569
C02737 C00338
CE4805 CE5942
C08825 C04453
C04637 C01277
CE2953 CE2958
C00447 C00111
C00212 C00147
C01252 C00328
C00719 C00576
C00921 C00415
C00349 C00100
C04246 C04618
C04911 C04884
CE5123 CE5124
C00103 C00668
C05578 C05579
CE2424 CE2417
C00670 C00114
C05841 C00253
CE2173 C00788
CE1661 C02356
CE2576 CE2577
C00079 CE1951
C00037 C00010
C00037 C00014
C00037 C00011
C00923 C00924
CE6417 C02238
C00778 C02456
C01794 CE5169
C00350 C00641
C00630 C03460
CE5844 CE5845
C03460 C00630
C00311 C00417
G00060 C04922
C11924 C02576
C00234 C00445
C04823 C04677
CE5653 CE5757
CE5899 CE2119
C05500 C05499
CE5236 CE2705
CE5920 CE5526
C01702 C02687
C02934 C00836
C05474 C05473
C05520 C00430
C00360 C00559
C00750 CE1935
CE2513 CE5159
C02336 C05345
C04903 G00158
C00130 C00262
C00523 C00674
C00120 C04801
C02567 C03413
C05378 C00111
C00267 C00221
C05378 C00118
C01417 CE1950
CE5139 CE5140
CE5139 CE5141
C00081 C00275
C00255 C01007
CE1943 CE1942
C14453 C14839
CE2243 CE2247
C00239 C00365
C05769 C05768
C01261 C00044
CE1186 C00111
CE5154 CE5153
G00129 C06140
CE5525 CE5140
C03824 C10164
C00346 C06124
C00242 C01977
C00130 C00294
CE2956 CE2954
CE5899 C05643
C00909 C02166
C00909 C02165
C00510 CE5162
C01777 C00114
CE2254 C08281
CE5648 CE5647
CE6504 C08261
C00229 C05223
C05898 C05899
C06133 C06134
C00160 C00048
C00429 C00106
CE2956 CE2960
C00065 C02553
C05544 C05545
C05642 C00704
G00128 C04927
CN0022 CN0023
C06487 C06486
C04675 C01291
C00168 C01146
C00024 C00010
CE5593 CE5651
C00334 C02946
C03541 C00101
CE4787 CE0219
C00042 C00164
C00762 C05469
C07282 C07281
C04230 C00157
C06198 C00075
C00197 C03232
C00639 C00584
C00010 C01944
C01528 C05172
C00219 CE5705
C00250 C00847
C00427 C02198
C05981 C04063
C01450 C01612
C02140 C05490
C00183 C02554
C06893 C00111
C14039 C14858
C06790 C14868
C14039 C14857
C12136 CE3122
CE7081 CE7109
C05125 C00068
C06790 C14866
C14039 C14859
CN0022 CN0021
C01117 C04212
C00510 C00712
C00344 C05980
C00532 C00312
C00256 C00022
C00019 C07308
C01144 C00332
C00166 C00940
C00024 C00033
CE5648 CE5649
C05268 C05271
CE4970 C00037
CE4990 CE5138
C05268 C05269
CE6511 CE1951
CE4834 CE4849
C00025 C02987
C02630 C00026
C00064 C02282
CE2186 CE2179
C00521 C00964
CE2257 CE2547
CE6584 CE5747
C00083 CE2250
C00083 CE2251
C00719 C01026
C01180 CE5824
C00696 CE5304
C00083 CE2252
C11150 C11149
C03772 C04373
C00612 C00315
C01651 C02992
C00116 C00577
C00081 C02965
C04840 C04453
CE4816 CE4818
C05500 C05501
C00083 CE2253
C05259 C02593
CE5968 CE5967
C00388 C05127
C00101 C00025
C01243 C01272
C03090 C00119
C00025 C00334
C00337 C00438
C05787 C05791
C00257 C00345
CE4816 CE4824
C01041 C00425
C05275 C02944
C05455 C06340
C04598 C04317
CE1617 CE5653
CE6190 CE5995
C03023 C03895
C00487 C05543
C02355 C01368
C00325 C01222
C04741 C00584
CE2547 CE2257
CE5828 CE5534
C11828 C05227
CE5969 CE4987
C00794 C00104
CE4819 CE4817
C03912 C00148
CE1261 CE1262
C01033 C03345
C04849 C05965
C00042 C00122
CE6446 CE6457
CE5614 CE5618
C00681 C03372
C06124 C00346
C04685 C11304
C00555 CE1944
C05396 C00243
C04549 CE5132
C05139 C05140
C00024 C00083
CE7091 CE7081
C05265 C05264
C14770 CE2725
C05125 C00022
C00787 C02839
C06124 C00319
C01203 C00229
CE2591 CE2592
C03205 CE1347
C00073 C02712
C00388 C05130
C00670 C00093
C00017 C00110
CE6192 CE6191
C00627 C00018
C00385 C00262
CE6192 CE6189
CE5307 C00024
CE5154 CE5155
C05839 C05838
CE5829 CE5865
C05261 C00024
CE5157 CE5158
CE5829 CE5866
CE5963 CE1714
CE5747 CE6584
C00153 C03245
C02249 CE2020
CE5727 C00116
C01628 C05849
C00425 C01041
C05110 C05111
C00097 CE1261
C04677 C04051
C00093 C05650
C05952 C05951
C01693 C04185
C00031 C00794
CE5787 CE5786
CE5698 CE5272
C05477 C05490
C01613 C00492
C00122 C00149
CE6234 CE6232
C00362 C00330
C01798 C00267
C05653 C00108
C14870 C13645
C01628 C05850
C14865 C14857
C00116 C13856
C02530 C00157
CE4988 CE5944
CE5350 CE5343
C00427 CE1243
C05335 C05336
C00246 C00136
CE2870 CE2866
C00047 CE2102
C12215 C12214
C00123 CE5786
C00003 C01201
C00114 C04317
C14865 C14862
C14865 C14863
C06427 CE4809
C05689 C05695
CE5157 CE5156
C00499 C00366
CE5274 CE1264
C02723 C06178
C02530 C00187
C00329 C00206
C00079 C00268
C00350 CE6493
C01054 C01724
G00021 G00022
C01277 C11554
C01346 C07292
CE2006 CE6506
C05823 C00957
C03232 C00197
CE6195 CE6198
C00068 C00011
CE6195 CE6197
C01225 C01177
C01188 C00349
C00361 C00035
C01972 C00021
C00575 C00020
CE2510 CE5151
C05477 C05478
CE5026 C00822
C03968 C03715
C03239 C04092
C00002 C03541
C00136 C05269
C00024 C03939
CE4938 C05963
C00040 C00347
C04789 C00043
CE6198 CE6226
C02472 C01019
C00894 C05668
CE2119 CE5899
C00645 C00140
C00024 CE5319
C00138 C00139
C03758 C06350
C00013 C00677
C07490 C11150
C02308 C02307
G00104 G00103
C06899 C14866
C00137 C01194
C00208 C00293
C05751 C04620
CE2858 CE2859
C05953 C00584
C03561 C00877
CE5525 CE5976
C00673 C00118
CE6259 CN0008
CE5322 CE5320
C05280 C05279
CE2020 C02249
C04308 C00157
C00062 C01201
C00508 C01101
C05959 C00696
C00024 CE5321
CE5126 CE5125
C00369 C00718
C00704 C00027
C00024 CE5320
CE5786 C00123
C01978 C01449
CE1261 C00355
C00318 C00010
C07453 CE4890
C00219 C02249
CE2211 C03681
C05844 C00245
G00063 C04936
C00362 C00361
CE4792 CE4794
C00696 CE4876
C00328 C01252
C00369 C00721
CE4831 CE4835
G00163 G00164
CE4831 CE4833
CE6504 CE2577
C11695 CE4878
C00208 C00277
CE5590 CE5589
CE6459 CE6447
CE2421 CE2434
CE3809 CE3808
C00132 C00067
C14782 C14781
C02592 C00245
C00131 C01096
C00024 CE5307
C00738 C00104
C00024 CE5308
CE2437 CE2438
C00024 CE5309
C00104 C00081
CE5178 CE7097
C00166 C02763
CE5117 CE2432
C05299 C11132
CE3809 CE3811
